team_code,season,team_name,league,total_players,avg_rating,file,is_conflict,is_problem,problem_type,leagues_for_code
NFH,2024-2025,Nykøbing F. Håndbold,Kvindeliga,18,1321.4,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
RIN,2017-2018,Ringkøbing Håndbold,Kvindeliga,8,1200.8,player_based_kvindeliga_team_elo_2017_2018.csv,False,False,,Kvindeliga
RIN,2018-2019,Ringkøbing Håndbold,Kvindeliga,20,1229.7,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
RIN,2021-2022,Ringkøbing Håndbold,Kvindeliga,16,1260.4,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
RIN,2022-2023,Ringkøbing Håndbold,Kvindeliga,15,1318.4,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
RIN,2023-2024,Ringkøbing Håndbold,Kvindeliga,14,1309.4,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
RIN,2024-2025,Ringkøbing Håndbold,Kvindeliga,15,1349.1,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
SKB,2018-2019,Skanderborg Håndbold,Kvindeliga,34,1260.6,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
SKB,2019-2020,Skanderborg Håndbold,Kvindeliga,35,1285.5,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
SKB,2020-2021,Skanderborg Håndbold,Kvindeliga,35,1302.0,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
SKB,2021-2022,Skanderborg Håndbold,Kvindeliga,23,1290.4,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
SKB,2022-2023,Skanderborg Håndbold,Kvindeliga,21,1335.6,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
SKB,2023-2024,Skanderborg Håndbold,Kvindeliga,23,1290.3,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
SKB,2024-2025,Skanderborg Håndbold,Kvindeliga,21,1295.8,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
EHA,2018-2019,EH Aalborg,Kvindeliga,15,1239.8,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
EHA,2019-2020,EH Aalborg,Kvindeliga,17,1266.5,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
EHA,2022-2023,EH Aalborg,Kvindeliga,13,1211.9,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
EHA,2024-2025,EH Aalborg,Kvindeliga,16,1264.7,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
BFH,2018-2019,Bjerringbro FH,Kvindeliga,7,1205.0,player_based_kvindeliga_team_elo_2018_2019.csv,False,False,,Kvindeliga
BFH,2023-2024,Bjerringbro FH,Kvindeliga,14,1269.7,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
BFH,2024-2025,Bjerringbro FH,Kvindeliga,16,1316.6,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
HHE,2019-2020,Horsens Håndbold Elite,Kvindeliga,22,1225.2,player_based_kvindeliga_team_elo_2019_2020.csv,False,False,,Kvindeliga
HHE,2020-2021,Horsens Håndbold Elite,Kvindeliga,17,1281.1,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
HHE,2021-2022,Horsens Håndbold Elite,Kvindeliga,23,1274.2,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
HHE,2022-2023,Horsens Håndbold Elite,Kvindeliga,23,1294.8,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
HHE,2023-2024,Horsens Håndbold Elite,Kvindeliga,19,1303.3,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
HHE,2024-2025,Horsens Håndbold Elite,Kvindeliga,20,1296.9,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
SVK,2020-2021,Silkeborg-Voel KFUM,Kvindeliga,16,1307.5,player_based_kvindeliga_team_elo_2020_2021.csv,False,False,,Kvindeliga
SVK,2021-2022,Silkeborg-Voel KFUM,Kvindeliga,16,1336.1,player_based_kvindeliga_team_elo_2021_2022.csv,False,False,,Kvindeliga
SVK,2022-2023,Silkeborg-Voel KFUM,Kvindeliga,20,1301.7,player_based_kvindeliga_team_elo_2022_2023.csv,False,False,,Kvindeliga
SVK,2023-2024,Silkeborg-Voel KFUM,Kvindeliga,19,1292.5,player_based_kvindeliga_team_elo_2023_2024.csv,False,False,,Kvindeliga
SVK,2024-2025,Silkeborg-Voel KFUM,Kvindeliga,17,1326.0,player_based_kvindeliga_team_elo_2024_2025.csv,False,False,,Kvindeliga
