player,master_elo,elite_status,primary_position,position_name,is_goalkeeper,position_games,total_actions,momentum_factor,saves,penalty_saves,goals_against,save_percentage
Niels LINDHOLT,1485.5,NORMAL,HF,Højre fløj,False,359,651,1.002,0,0,0,0.0
Besard HAKAJ,1484.5,NORMAL,ST,Streg,False,305,590,1.01,0,0,0,0.0
Mats Gordon KROG,1484.3,NORMAL,VF,Venstre fløj,False,157,316,1.008,0,0,0,0.0
Benjamin JAKOBSEN,1483.9,NORMAL,ST,Streg,False,239,477,1.004,0,0,0,0.0
Jon KATBALLE,1482.1,NORMAL,HF,Højre fløj,False,266,422,1.007,0,0,0,0.0
Alec SMIT,1479.1,NORMAL,HF,Højre fløj,False,392,410,1.006,0,0,0,0.0
Vilhelm POULSEN,1476.9,NORMAL,HF,Højre fløj,False,281,446,1.006,0,0,0,0.0
Frederik HORN,1476.6,NORMAL,HF,Højre fløj,False,173,395,1.005,0,0,0,0.0
Jens Svane PESCHARDT,1472.4,NORMAL,HF,Højre fløj,False,292,467,1.007,0,0,0,0.0
Kristjan ÖRN KRISTJANSSON,1471.5,NORMAL,HF,Højre fløj,False,243,431,1.007,0,0,0,0.0
Victor WOLF,1469.9,NORMAL,VF,Venstre fløj,False,160,251,1.005,0,0,0,0.0
Jack THURIN,1469.3,NORMAL,HF,Højre fløj,False,220,367,1.005,0,0,0,0.0
Tobias Torpegaard MØLLER,1468.7,NORMAL,HF,Højre fløj,False,176,337,1.006,0,0,0,0.0
Magnus PETERSEN,1468.0,NORMAL,MV,Målvogter,False,216,216,1.0,0,0,0,0.0
Patrick WIESMACH,1465.9,NORMAL,HF,Højre fløj,False,290,309,1.005,0,0,0,0.0
Kasper KILDELUND,1463.6,NORMAL,HF,Højre fløj,False,393,412,1.004,0,0,0,0.0
Mikkel Møller LØVKVIST,1462.9,NORMAL,MV,Målvogter,False,230,230,0.998,0,0,0,0.0
Mathias HEDEGAARD,1462.5,NORMAL,ST,Streg,False,288,523,1.0,0,0,0,0.0
Nickolei JENSEN,1461.4,NORMAL,HF,Højre fløj,False,276,419,1.002,0,0,0,0.0
Nikolaj SVALASTOG,1460.3,NORMAL,HF,Højre fløj,False,184,337,1.009,0,0,0,0.0
Arnar Birkir HÁLFDÁNSSON,1459.5,NORMAL,HF,Højre fløj,False,240,383,1.01,0,0,0,0.0
Rasmus HENRIKSEN,1457.1,NORMAL,MV,Målvogter,False,226,226,1.005,0,0,0,0.0
Tim SØRENSEN,1456.8,NORMAL,HF,Højre fløj,False,300,356,0.999,0,0,0,0.0
Nicolaj Kjær SPANGGAARD,1455.6,NORMAL,HF,Højre fløj,False,218,416,1.0,0,0,0,0.0
Kristoffer LAURSEN,1454.6,NORMAL,MV,Målvogter,False,345,345,0.998,0,0,0,0.0
James JUNIOR SCOTT,1453.0,NORMAL,HF,Højre fløj,False,193,427,1.002,0,0,0,0.0
Reiner TABOADA,1450.9,NORMAL,HF,Højre fløj,False,287,416,1.014,0,0,0,0.0
