player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
THOMAS BOHL DAMGAARD,LTH,Lemvig-Thyborøn Håndbold,1261.8,25,HF,False,ELITE,172.2
MORTEN OLSEN,GOG,GOG,1259.8,28,HF,False,ELITE,244.8
FREDERIK IVERSEN,LTH,Lemvig-Thyborøn Håndbold,1257.4,16,VF,False,ELITE,58.2
RUNE ANDERSEN,FHK,Fredericia Håndbold Klub,1253.1,24,HF,False,ELITE,147.9
SØREN NØRGAARD,LTH,Lemvig-Thyborøn Håndbold,1246.6999999999998,11,VF,False,NORMAL,73.1
OSCAR BERGENDAHL,GOG,GOG,1240.3000000000002,33,ST,False,NORMAL,108.9
RASMUS MEYER EJLERSEN,FHK,Fredericia Håndbold Klub,1239.1,27,HF,False,NORMAL,77.9
FREDERIK BO ANDERSEN,GOG,GOG,1236.4,18,HF,False,NORMAL,64.1
TOBIAS MØLLER,SJH,SønderjyskE Herrehåndbold,1229.8,29,HF,False,NORMAL,214.8
THOMAS BOILESEN,KIF,KIF Kolding,1225.8,28,HF,False,NORMAL,210.8
CHRISTIAN SABROE HOLM,LTH,Lemvig-Thyborøn Håndbold,1212.8,9,HF,False,NORMAL,29.7
SIMON PYTLICK,GOG,GOG,1205.7,26,HF,False,NORMAL,190.7
NIKOLAJ ENDERLEIT,TTH,TTH Holstebro,1203.0,5,HF,False,NORMAL,35.6
JONAS LARHOLM,REH,Ribe-Esbjerg HH,1201.6,25,HF,False,NORMAL,186.6
AKSEL HORGEN,BSH,Bjerringbro-Silkeborg,1198.6,34,HF,False,NORMAL,183.6
NOAH GAUDIN,SJH,SønderjyskE Herrehåndbold,1197.3,30,HF,False,NORMAL,182.3
WILLIAM BOGOJEVIC,BSH,Bjerringbro-Silkeborg,1187.1,33,HF,False,NORMAL,172.1
MADS THYMANN HANSEN,LTH,Lemvig-Thyborøn Håndbold,1179.6,25,HF,False,NORMAL,164.6
JAKOB FREDERIKSEN,FHK,Fredericia Håndbold Klub,1178.9,18,HF,False,NORMAL,99.8
MADS DUDEK,TMH,TMS Ringsted,1176.0,24,HF,False,NORMAL,86.9
MADS CHRISTIANSEN,AAH,Aalborg Håndbold,1171.6,24,HF,False,NORMAL,62.0
MARTIN RISOM CHRISTENSEN,TMH,TMS Ringsted,1168.0,18,HF,False,NORMAL,91.5
ALLAN TOFT HANSEN,MTH,Mors-Thy Håndbold,1164.4,22,HF,False,NORMAL,41.7
KRISTOFFER VESTERGAARD,KIF,KIF Kolding,1163.6999999999998,25,HF,False,NORMAL,74.6
MADS EMIL BAYER LENBROCH,FHK,Fredericia Håndbold Klub,1156.7,19,VF,False,NORMAL,48.7
MATHIAS HEDEGAARD,FHK,Fredericia Håndbold Klub,1152.3,26,ST,False,NORMAL,86.7
JACOB HESSELLUND,MTH,Mors-Thy Håndbold,1152.2,15,HF,False,NORMAL,35.0
EMIL WERNSDORF MADSEN,GOG,GOG,1150.5,21,HF,False,NORMAL,59.4
OSKAR SUNNEFELDT,SJH,SønderjyskE Herrehåndbold,1149.1,5,HF,False,NORMAL,23.2
ALEC SMIT,SJH,SønderjyskE Herrehåndbold,1144.7,26,HF,False,NORMAL,69.9
KASPER YOUNG,FHK,Fredericia Håndbold Klub,1142.9,27,HF,False,NORMAL,127.9
LAURITZ LEGÉR,TMH,TMS Ringsted,1139.7,23,HF,False,NORMAL,124.7
ANTON BRAMMING,TMH,TMS Ringsted,1136.7,19,HF,False,NORMAL,75.8
