player,team_code,team_name,final_rating,games,primary_position,is_goalkeeper,elite_status,rating_change
SOFIE BARDRUM,AJK,Ajax København,1309.4,28,HF,False,ELITE,134.5
ANNIKA JAKOBSEN,SVK,Silkeborg-Voel KFUM,1294.3000000000002,29,HF,False,ELITE,84.4
AMALIE WULFF,NFH,Nykøbing F. Håndbold,1286.3,32,HF,False,ELITE,207.0
MARIA FISKER,VHK,Viborg HK,1279.4,13,HF,False,ELITE,61.0
MAJBRITT TOFT HANSEN,HHE,Horsens Håndbold Elite,1274.0,31,ST,False,ELITE,79.1
HENRIETTE HANSEN,SKB,Skanderborg Håndbold,1273.6,27,HF,False,ELITE,103.4
MARIT MALM FRAFJORD,TES,Team Esbjerg,1273.3,28,ST,False,ELITE,59.8
HANNA BLOMSTRAND,KBH,København Håndbold,1263.8,17,HF,False,ELITE,38.1
ANDREA HANSEN,KBH,København Håndbold,1263.5,26,HF,False,ELITE,103.9
THILDE FRANDSEN,VHK,Viborg HK,1263.4,35,HF,False,ELITE,138.1
LINE SKAK,SVK,Silkeborg-Voel KFUM,1263.0,31,HF,False,ELITE,95.7
LOUISA MITTET,AJK,Ajax København,1259.3,5,HF,False,ELITE,18.3
EMILIE BASTRUP BERTELSEN,HOL,Holstebro Håndbold,1258.0,21,VF,False,ELITE,54.1
MARIA HJERTNER,KBH,København Håndbold,1257.6999999999998,29,HB,False,ELITE,70.6
MARIA LYKKEGAARD,KBH,København Håndbold,1252.9,31,HF,False,ELITE,102.7
SOFIE BREMS ØSTERGAARD,HOL,Holstebro Håndbold,1252.9,24,HF,False,ELITE,69.1
IDA-MARIE DAHL,VHK,Viborg HK,1251.5,35,HF,False,ELITE,150.6
NIKITA VAN DER VLIET,NFH,Nykøbing F. Håndbold,1250.5,26,HF,False,ELITE,104.3
LOUISE ELLEBÆK,SVK,Silkeborg-Voel KFUM,1246.8,30,HF,False,NORMAL,66.2
KATRINE LARSON,SKB,Skanderborg Håndbold,1240.5,19,HF,False,NORMAL,50.3
STINE BAUN ERIKSEN,SKB,Skanderborg Håndbold,1232.8000000000002,30,HF,False,NORMAL,70.4
SANNA SOLBERG,TES,Team Esbjerg,1226.2,26,VF,False,NORMAL,75.5
SOFIE OLSEN,NFH,Nykøbing F. Håndbold,1225.8,25,HF,False,NORMAL,69.8
MARIGONA HAJDARI,RIN,Ringkøbing Håndbold,1215.2,30,HF,False,NORMAL,125.9
CHRISTINA WILDBORK,KBH,København Håndbold,1214.2,32,HF,False,NORMAL,134.9
LINE JØRGENSEN,TES,Team Esbjerg,1207.5,13,HF,False,NORMAL,37.4
ESTAVANA POLMAN,TES,Team Esbjerg,1207.1,5,HF,False,NORMAL,17.4
MAJA EDLING LAURITSEN,HOL,Holstebro Håndbold,1205.5,24,HF,False,NORMAL,72.8
LAURA DAMGAARD,HHE,Horsens Håndbold Elite,1200.1,13,HF,False,NORMAL,107.3
ALBERTE SIMONSEN,RIN,Ringkøbing Håndbold,1198.3,28,HF,False,NORMAL,159.8
ROSA SKOVLUND SCHMIDT,AJK,Ajax København,1196.3,29,HF,False,NORMAL,138.7
MATHILDE KRISTENSEN,SVK,Silkeborg-Voel KFUM,1191.5,31,HF,False,NORMAL,73.3
NINA DANO,HHE,Horsens Håndbold Elite,1186.5,32,HF,False,NORMAL,171.5
THEA HAMANN RASMUSSEN,SKB,Skanderborg Håndbold,1185.9,26,HF,False,NORMAL,148.1
CHRISTINA PEDERSEN,HHE,Horsens Håndbold Elite,1182.4,9,HF,False,NORMAL,8.5
